DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Afghanistan,AFG,Asia,Southern Asia,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0999984741,,,,,,,,,,,,,,,,,,,,,,,,,52.92499923706055
Afghanistan,AFG,Asia,Southern Asia,2018,,,,,,,,4.51999998093,,0.291999995708,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,46.0,,,,,,,,,,,,,,,,,,53.57500076293945
Afghanistan,AFG,Asia,Southern Asia,2019,,,,,,,,,0.713999986649,,,,,,,,,,34.4463386536,,,40.2000007629,,42.5999984741,,,,,,0.016179999337,265.664520264,,,,,,,,,,,,75.1871795654,,,16.6000003815,,,,,,,,,,,53.900001525878906
Afghanistan,AFG,Asia,Southern Asia,2021,,,,,4.05000019073,,,,,,,,40.0,,,,,,,,,,,,,,,,24.1000003815,,,,,,,,,,,,,,,2.50322437286,3.62615561485,,,40.8846092224,,8.37823009491,,,,,,,54.54999923706055
Afghanistan,AFG,Asia,Southern Asia,2022,,,,,,,,,,,9.06433963776,49.0,,57.6796798706,185.0,,,22.7000007629,,19.2225894928,8.46243000031,,3.70000004768,,3.6,33.0999984741,67.0,36.0999984741,,,,,,,0.029999999329,,,,,14367281.0,7.34000015259,67.9558029175,,,,,,,,,35.4898109436,69.0,,48.2146987915,,30.0340995789,54.875
Afghanistan,AFG,Asia,Southern Asia,2023,,,,,,,,,,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,,38.0666999817,,,,,,,,,,,,6.0,,,,,,,,55.20000076293945
Albania,ALB,Europe,Southern Europe,2017,,,8.85000038147,1.40999996662,,,,,,,,,,,,,,,,,,,,,1.60000002384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.05000305175781
Albania,ALB,Europe,Southern Europe,2018,,,,,,,,,10.3339996338,10.8620004654,,,,,,,,,,,,,,,,,,,,,,6.30000019073,,,,,,6.0,13.0,,,,,,,,,,,,,,,,,,69.07499694824219
Albania,ALB,Europe,Southern Europe,2019,,,,,,,,,,,,,,,,,,,11.4035625458,,,41.7999992371,,24.7999992371,,,,,,5.10935020447,92.4828720093,,,,,,,,,,,,16.5769805908,,,3.20000004768,,,,,,,,,,,69.0999984741211
Albania,ALB,Europe,Southern Europe,2020,,,,,,,18.8260002136,58.3120002747,,,,,,,,,8.27645015717,,,,,,,,,,,,,,,,,0.289999991655,,,,,,,,,,,,,,,,,,,,,,,69.125
Albania,ALB,Europe,Southern Europe,2021,,,,,9.14000034332,,,,,,,,6.0399999767775,,,,,,,,,,,,,,,,10.8000001907,,,,,,,,,,,,,,,0.214211568236,2.84951972961,,,63.768951416,,3.51188445091,,,,,,,69.1500015258789
Albania,ALB,Europe,Southern Europe,2022,,,,,,,,,,,,93.0,,9.43802261353,15.0,100.0,,21.8999996185,,23.3601894379,7.52263021469,,13.3999996185,,,8.30000019073,87.0,84.5999984741,,,,,,,0.019999999553,15.0,,,,0.0,1.28999996185,30.3022003174,,,,,,,,,6.96381378174,97.0,19.4666595459,,56.3464889526,70.7360687256,69.17500305175781
Albania,ALB,Europe,Southern Europe,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8000030518,,,,,,,,,,,,0.0,,,,,,,,69.19999694824219
Algeria,DZA,Africa,Northern Africa,2017,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.19999694824219
Algeria,DZA,Africa,Northern Africa,2019,,,,,,,9.86800003052,3.16000008583,1.64300000668,0.504999995232,,,11.0,,,98.8000030518,,,13.94211483,,,36.2000007629,,33.2999992371,2.70000004768,,,,,0.612709999084,49.7465209961,66.3000030518,,,,,,,,,,,22.8549804688,,,4.09999990463,,,,,,,,,,,66.4000015258789
Algeria,DZA,Africa,Northern Africa,2020,,,,,,,,,,,,,,,,,77.6947937012,,,,,,,,,,,,,,,,,0.079999998212,,,,,,,,,,,,,,,,,,,,,,,66.5
