DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Albania,ALB,Europe,Southern Europe,2021,-1.0,-1.0,-1.0,-1.0,9.14000034332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0399999767775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.8000001907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.214211568236,2.84951972961,-1.0,-1.0,63.768951416,-1.0,3.51188445091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.1500015258789
Albania,ALB,Europe,Southern Europe,2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.0,-1.0,9.43802261353,15.0,100.0,-1.0,21.8999996185,-1.0,23.3601894379,7.52263021469,-1.0,13.3999996185,-1.0,-1.0,8.30000019073,87.0,84.5999984741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.019999999553,15.0,-1.0,-1.0,-1.0,0.0,1.28999996185,30.3022003174,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.96381378174,97.0,19.4666595459,-1.0,56.3464889526,70.7360687256,69.17500305175781
Albania,ALB,Europe,Southern Europe,2023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.8000030518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.19999694824219
Algeria,DZA,Africa,Northern Africa,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.19999694824219
Algeria,DZA,Africa,Northern Africa,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.86800003052,3.16000008583,1.64300000668,0.504999995232,-1.0,-1.0,11.0,-1.0,-1.0,98.8000030518,-1.0,-1.0,13.94211483,-1.0,-1.0,36.2000007629,-1.0,33.2999992371,2.70000004768,-1.0,-1.0,-1.0,-1.0,0.612709999084,49.7465209961,66.3000030518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.8549804688,-1.0,-1.0,4.09999990463,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.4000015258789
Algeria,DZA,Africa,Northern Africa,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.6947937012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.079999998212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.5
Algeria,DZA,Africa,Northern Africa,2021,-1.0,-1.0,-1.0,-1.0,8.81999969482,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.2999992371,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.509044408798,2.18574118614,-1.0,-1.0,74.1116409302,-1.0,1.6423330307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.5999984741211
Algeria,DZA,Africa,Northern Africa,2022,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,71.0,-1.0,21.7527503967,51.0,-1.0,-1.0,21.2000007629,-1.0,23.81498909,15.2595300674,-1.0,11.8999996185,-1.0,-1.0,8.60000038147,74.0,99.6999969482,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.050000000745,-1.0,-1.0,-1.0,-1.0,5780.0,0.050000000745,1.41799998283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.1584596634,77.0,76.1877288818,84.8041000366,62.4100990295,70.5979309082,66.69999694824219
Angola,AGO,Africa,Sub-Saharan Africa,2014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.6549968717,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.08000183105469
Argentina,ARG,Americas,Latin America and the Caribbean,2017,-1.0,-1.0,9.56999969482,2.53999996185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0
